clause_id,file_name,paragraph_index,agreement_type,clause_type,matched_keywords,match_count,match_score,confidence,char_len,token_count,clause_text
328b060e-9758-4215-ad61-0e954aaa71d1,nda_01.txt,1,employment,confidentiality,non-disclosure,1,0.14285714285714285,low,70,9,UNDERTAKING & NON-DISCLOSURE AGREEMENT (NDA) BY THE DEVELOPMENT AGENCY
eb4a0666-14ef-43fe-8646-64c36cf981d9,nda_01.txt,4,employment,obligations,undertake,1,0.125,low,481,43,"/Ms._________________________, _________________ (Designation) authorised representative of___________________________________________________(Company Name), a public limited company/ private limited company/ partnership firm/ limited liability partnership/ one person company/ sole proprietorship registered as per applicable Indian laws (tick as applicable), located at _______________________________________________________ (Company Address) do hereby undertake the following:-"
6f5599e6-cd80-4a08-a0d5-ae972266de30,nda_01.txt,4,service,indemnity,liability,1,0.2,low,481,43,"/Ms._________________________, _________________ (Designation) authorised representative of___________________________________________________(Company Name), a public limited company/ private limited company/ partnership firm/ limited liability partnership/ one person company/ sole proprietorship registered as per applicable Indian laws (tick as applicable), located at _______________________________________________________ (Company Address) do hereby undertake the following:-"
edef5846-96c0-4aad-b5e9-05a5ba620bda,nda_01.txt,25,rental,rent_terms,,0,0.0,low,34,4,Projects currently under execution
178c1c70-4e23-4fef-8c05-c799d3644efb,nda_01.txt,26,rental,rent_terms,,0,0.0,low,30,4,Projects Currently applied for
67a4d1ba-15fd-401a-8a43-53e46afdaf3c,nda_01.txt,28,employment,notice_period,notice;written notice,2,0.2222222222222222,low,1322,208,"NON-DISCLOSURE AGREEMENT (NDA) For purposes of this Undertaking and any documents relating to or purportedly executed in connection with the TDF Scheme, the term “Confidential Information” shall be read to mean, with respect to either party, any and all information in written, representational, electronic, verbal or other form relating directly or indirectly to the present or potential business, operation or financial condition of or relating to the Parties, excluding any such information which (i) is known to the public (through no act or omission of the receiving party in violation of this Agreement); (ii) is lawfully acquired by the receiving party from an independent source having no obligation to maintain the confidentiality of such information; (iii) was known to the receiving party prior to its disclosure under this ; (iv) was or is independently developed by the receiving party without breach of this Agreement; or (v) is required to be disclosed by governmental or judicial order, in which case the party so required shall give the other party prompt written notice, where possible, and use reasonable efforts to ensure that such disclosure is accorded confidential treatment and also to enable such other party to seek a protective order or other appropriate remedy at such other party’s sole costs."
cf8dbb8b-cff1-4014-a140-cf1860fb5204,nda_01.txt,28,employment,obligations,obligation;shall,2,0.25,low,1322,208,"NON-DISCLOSURE AGREEMENT (NDA) For purposes of this Undertaking and any documents relating to or purportedly executed in connection with the TDF Scheme, the term “Confidential Information” shall be read to mean, with respect to either party, any and all information in written, representational, electronic, verbal or other form relating directly or indirectly to the present or potential business, operation or financial condition of or relating to the Parties, excluding any such information which (i) is known to the public (through no act or omission of the receiving party in violation of this Agreement); (ii) is lawfully acquired by the receiving party from an independent source having no obligation to maintain the confidentiality of such information; (iii) was known to the receiving party prior to its disclosure under this ; (iv) was or is independently developed by the receiving party without breach of this Agreement; or (v) is required to be disclosed by governmental or judicial order, in which case the party so required shall give the other party prompt written notice, where possible, and use reasonable efforts to ensure that such disclosure is accorded confidential treatment and also to enable such other party to seek a protective order or other appropriate remedy at such other party’s sole costs."
96626dc1-838f-4fea-912b-77554da679a5,nda_01.txt,28,employment,confidentiality,confidential;non-disclosure,2,0.2857142857142857,medium,1322,208,"NON-DISCLOSURE AGREEMENT (NDA) For purposes of this Undertaking and any documents relating to or purportedly executed in connection with the TDF Scheme, the term “Confidential Information” shall be read to mean, with respect to either party, any and all information in written, representational, electronic, verbal or other form relating directly or indirectly to the present or potential business, operation or financial condition of or relating to the Parties, excluding any such information which (i) is known to the public (through no act or omission of the receiving party in violation of this Agreement); (ii) is lawfully acquired by the receiving party from an independent source having no obligation to maintain the confidentiality of such information; (iii) was known to the receiving party prior to its disclosure under this ; (iv) was or is independently developed by the receiving party without breach of this Agreement; or (v) is required to be disclosed by governmental or judicial order, in which case the party so required shall give the other party prompt written notice, where possible, and use reasonable efforts to ensure that such disclosure is accorded confidential treatment and also to enable such other party to seek a protective order or other appropriate remedy at such other party’s sole costs."
8bca649d-ffcf-42e8-ac4b-8e61f5460495,nda_01.txt,28,nda,nda_exclusions,independently developed,1,0.2,low,1322,208,"NON-DISCLOSURE AGREEMENT (NDA) For purposes of this Undertaking and any documents relating to or purportedly executed in connection with the TDF Scheme, the term “Confidential Information” shall be read to mean, with respect to either party, any and all information in written, representational, electronic, verbal or other form relating directly or indirectly to the present or potential business, operation or financial condition of or relating to the Parties, excluding any such information which (i) is known to the public (through no act or omission of the receiving party in violation of this Agreement); (ii) is lawfully acquired by the receiving party from an independent source having no obligation to maintain the confidentiality of such information; (iii) was known to the receiving party prior to its disclosure under this ; (iv) was or is independently developed by the receiving party without breach of this Agreement; or (v) is required to be disclosed by governmental or judicial order, in which case the party so required shall give the other party prompt written notice, where possible, and use reasonable efforts to ensure that such disclosure is accorded confidential treatment and also to enable such other party to seek a protective order or other appropriate remedy at such other party’s sole costs."
c6d6b095-17b8-4da0-8810-2c316a484933,nda_01.txt,28,service,warranties,,0,0.0,low,1322,208,"NON-DISCLOSURE AGREEMENT (NDA) For purposes of this Undertaking and any documents relating to or purportedly executed in connection with the TDF Scheme, the term “Confidential Information” shall be read to mean, with respect to either party, any and all information in written, representational, electronic, verbal or other form relating directly or indirectly to the present or potential business, operation or financial condition of or relating to the Parties, excluding any such information which (i) is known to the public (through no act or omission of the receiving party in violation of this Agreement); (ii) is lawfully acquired by the receiving party from an independent source having no obligation to maintain the confidentiality of such information; (iii) was known to the receiving party prior to its disclosure under this ; (iv) was or is independently developed by the receiving party without breach of this Agreement; or (v) is required to be disclosed by governmental or judicial order, in which case the party so required shall give the other party prompt written notice, where possible, and use reasonable efforts to ensure that such disclosure is accorded confidential treatment and also to enable such other party to seek a protective order or other appropriate remedy at such other party’s sole costs."
